Propinsi,ID,Pop
Aceh,32,5407.9
Sumatera Utara,24,15115.2
Sumatera Barat,26,5640.6
Riau,19,6614.4
Kep. Riau,34,2179.8
Jambi,29,3631.1
Sumatera Selatan,28,8657.0
Kep. Bangka Belitung,25,1494.6
Bengkulu,31,2060.1
Lampung,30,9176.6
DKI Jakarta,14,10680.0
Jawa Barat,15,49405.8
Banten,7,12252.0
Jawa Tengah,6,37032.4
DI Yogyakarta,5,3761.9
Jawa Timur,8,41150.0
Kalimantan Barat,12,5541.4
Kalimantan Tengah,27,2741.1
Kalimantan Selatan,11,4182.1
Kalimantan Timur,21,3859.8
Kalimantan Utara,33,727.8
Sulawesi Utara,22,2659.5
Gorontalo,3,1192.7
Sulawesi Tengah,20,3066.1
Sulawesi Selatan,13,9225.8
Sulawesi Barat,16,1458.6
Sulawesi Tenggara,4,2701.7
Bali,18,4415.1
Nusa Tenggara Barat,2,5473.7
Nusa Tenggara Timur,17,5466.3
Maluku,10,1881.7
Maluku Utara,9,1319.3
Papua Barat,23,1183.3
Papua,1,4418.6
